Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
East Arcadia town,17,Bladen,3719300,603,268.4,2.25,15,79,433,42,391,73,27,46,44,0.87,,,,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,132000,132000,Elizabethtown
East Bend town,197,Yadkin,3719320,739,564.8,1.31,21,101,475,41,434,107,4,103,6,0.63,0,0.22,0.22,,,,,,,,,,,,,,,
East Flat Rock CDP,89,Henderson,3719420,6108,1427.6,4.28,282,1262,3675,392,3283,753,84,669,56,0.63,0,7.66,7.66,,,,,,,,,,,,,,,
East Laurinburg town,165,Scotland,3719620,345,1796,0.19,46,24,226,104,122,49,11,38,53,0.98,2.37,49.59,51.96,,,,,,,,,,,,,,,
Eastover town,51,Cumberland,3719740,3740,330.2,11.33,96,912,1878,273,1605,753,73,680,64,0.58,19.11,9.48,28.6,,,,,,,,,,,,,,,
East Rockingham CDP,153,Richmond,3719800,3338,976.4,3.42,631,527,1757,412,1345,407,62,345,51,0.82,0.11,5.07,5.18,,,,,,,,,,,,,,,
East Spencer town,159,Rowan,3719860,1382,656,2.11,79,108,796,298,498,399,28,371,71,0.75,1.04,8.11,9.15,,,,,,,,,,,,,,,
Eden city,157,Rockingham,3720080,14986,1055.5,14.2,993,1693,8793,1796,6997,2925,361,2564,77,0.73,0.92,10.67,11.6,,,,,,,,,,,,,,,
Edenton town,41,Chowan,3720120,4640,863.3,5.37,727,546,2134,862,1272,981,179,802,55,0.75,1.52,16.03,17.55,5,Edenton Old Hertford Hazard Mitigation Project 2022,"The eastern portion of Edenton is subject to stormwater flooding due to the limited capacity of downstream culverts that extend under Old Hertford Road. Golden LEAF flood mitigation grant funds will be used to replace an existing pipe under Old Hertford Road with a box culvert design and replace existing piping downstream of Old Hertford Road with two larger lines. Improving the transport of stormwater runoff from this area will also allow the town to focus on upstream improvements previously limited by this downstream bottleneck. There are households, businesses and residential care homes for adults with special needs in the immediate project area. Due to the bottleneck in this area, areas upstream feel impacts from flooding as well.",Town of Edenton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,249300,249300,Edenton
Edneyville CDP,89,Henderson,3720280,2782,259.1,10.74,257,496,1628,215,1413,362,74,288,,0.29,0,3.45,3.45,,,,,,,,,,,,,,,
Efland CDP,135,Orange,3720420,804,451.5,1.78,0,200,504,14,490,100,0,100,,0.62,0.44,2.32,2.76,,,,,,,,,,,,,,,
Elizabeth City city,139,Pasquotank,3720580,17725,1514,11.71,1052,3103,9320,1524,7796,2309,283,2026,,0.55,9.63,34.03,43.66,6,Dawson-Hunter Stormwater Improvement Study,"The Dawson-Hunter neighborhood in Elizabeth City is subject to flooding due to low elevation and proximity to Charles Creek and the Pasquotank River. Repetitive flooding is limiting access for residents, damaging state and local roads, and creating risks of damage to water and sewer pipe beds. Golden LEAF flood mitigation grant funds will be used to perform necessary assessment and analysis of the drainage basin and stormwater infrastructure, and to develop and prioritize stormwater control measures that will mitigate repetitive flooding as cost-effectively as possible. NCDEQ Division of Water Resources awarded the city a $100,000 Water Resources Development Grant to fund 50 percent of eligible costs for stormwater planning in the area; this grant will provide the remaining funding for that planning process. The project will directly benefit households located in the neighborhood.",City of Elizabeth City,Local Government,Planning,3/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,100000,100000,Elizabeth City
Elizabethtown town,17,Bladen,3720600,3424,675.5,5.07,247,418,1921,572,1349,617,192,425,56,0.8,0,7.24,7.24,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,132000,132000,Elizabethtown
Elkin town,"171, 193","Surry, Wilkes",3720620,3968,585.4,6.78,330,581,2172,464,1708,677,93,584,,0.71,0.95,8.6,9.55,,,,,,,,,,,,,,,
Elk Park town,11,Avery,3720700,495,716.8,0.69,12,89,358,114,244,36,9,27,49,0.45,0,7.54,7.54,,,,,,,,,,,,,,,
Ellenboro town,161,Rutherford,3720780,794,627.6,1.27,26,177,499,79,420,88,9,79,59,0.61,,,,,,,,,,,,,,,,,,
Ellerbe town,153,Richmond,3720840,1032,784.5,1.32,83,153,642,93,549,154,3,151,55,0.75,,,,,,,,,,,,,,,,,,
Elm City town,195,Wilson,3720980,1701,791,2.15,218,267,856,198,658,360,34,326,,0.6,0.75,3.37,4.12,,,,,,,,,,,,,,,
Elon town,1,Alamance,3721095,11941,2942.1,4.06,36,1396,5518,1949,3569,1785,168,1617,,0.35,0.24,4.03,4.27,,,,,,,,,,,,,,,
Elrod CDP,155,Robeson,3721120,522,97.8,5.34,62,97,277,140,137,86,35,51,56,0.94,0,1.17,1.17,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Lumberton
Elrod CDP,155,Robeson,3721120,522,97.8,5.34,62,97,277,140,137,86,35,51,56,0.94,0,1.17,1.17,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,122500,122500,Maxton
Elroy CDP,191,Wayne,3721130,4114,629.5,6.54,259,847,2387,435,1952,605,19,586,58,0.75,6.27,3.38,9.65,,,,,,,,,,,,,,,
Emerald Isle town,31,Carteret,3721160,3691,749.7,4.92,0,512,2045,53,1992,1134,26,1108,73,0.1,18.01,39.32,57.33,,,,,,,,,,,,,,,
Emma CDP,21,Buncombe,3721260,2532,2328.7,1.09,0,522,1456,283,1173,554,73,481,,0.64,0,3.92,3.92,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Enfield town,83,Halifax,3721360,2348,1804.9,1.3,192,313,1348,472,876,416,97,319,49,0.93,,,,,,,,,,,,,,,,,,
Engelhard CDP,95,Hyde,3721380,155,48,3.23,14,0,100,100,0,41,0,41,,0.81,0.66,96.07,96.73,,,,,,,,,,,,,,,
